exec, num_threads, reps, res1, t1, res2, t2 
0, 1, 01, -343021.474766, 1.683675, -25242644.603147, 8.700446
0, 1, 02, -343021.474766, 1.675320, -25242644.603147, 8.698415
0, 1, 03, -343021.474766, 1.670360, -25242644.603147, 8.696848
0, 1, 04, -343021.474766, 1.675607, -25242644.603147, 8.698783
0, 1, 05, -343021.474766, 1.676208, -25242644.603147, 8.697431
0, 1, 06, -343021.474766, 1.667760, -25242644.603147, 8.699208
0, 1, 07, -343021.474766, 1.674379, -25242644.603147, 8.698322
0, 1, 08, -343021.474766, 1.671039, -25242644.603147, 8.699427
0, 1, 09, -343021.474766, 1.641653, -25242644.603147, 8.698907
0, 1, 10, -343021.474766, 1.642224, -25242644.603147, 8.698780
0, 2, 01, -343021.474766, 1.260820, -25242644.603147, 7.143204
0, 2, 02, -343021.474766, 1.254848, -25242644.603147, 7.146648
0, 2, 03, -343021.474766, 1.226752, -25242644.603147, 7.145779
0, 2, 04, -343021.474766, 1.227028, -25242644.603147, 7.145414
0, 2, 05, -343021.474766, 1.226459, -25242644.603147, 7.147170
0, 2, 06, -343021.474766, 1.254047, -25242644.603147, 7.145470
0, 2, 07, -343021.474766, 1.252284, -25242644.603147, 7.169328
0, 2, 08, -343021.474766, 1.226796, -25242644.603147, 7.146712
0, 2, 09, -343021.474766, 1.259284, -25242644.603147, 7.146225
0, 2, 10, -343021.474766, 1.253405, -25242644.603147, 7.146250
0, 4, 01, -343021.474766, 0.749565, -25242644.603147, 6.237392
0, 4, 02, -343021.474766, 0.749928, -25242644.603147, 6.239174
0, 4, 03, -343021.474766, 0.751741, -25242644.603147, 6.236609
0, 4, 04, -343021.474766, 0.752288, -25242644.603147, 6.235250
0, 4, 05, -343021.474766, 0.752499, -25242644.603147, 6.237550
0, 4, 06, -343021.474766, 0.748003, -25242644.603147, 6.235904
0, 4, 07, -343021.474766, 0.732930, -25242644.603147, 6.238055
0, 4, 08, -343021.474766, 0.725707, -25242644.603147, 6.238143
