exec, num_threads, reps, res1, t1, res2, t2 
0, 1, 0, -343021.474766, 1.643562, -25242644.603147, 8.672049
0, 1, 1, -343021.474766, 1.641919, -25242644.603147, 8.671417
0, 1, 2, -343021.474766, 1.642570, -25242644.603147, 8.673319
0, 1, 3, -343021.474766, 1.641197, -25242644.603147, 8.673032
0, 1, 4, -343021.474766, 1.641350, -25242644.603147, 8.673396
0, 1, 5, -343021.474766, 1.641801, -25242644.603147, 8.673843
0, 1, 6, -343021.474766, 1.641398, -25242644.603147, 8.673176
0, 1, 7, -343021.474766, 1.642986, -25242644.603147, 8.674308
0, 1, 8, -343021.474766, 1.641476, -25242644.603147, 8.673135
0, 1, 9, -343021.474766, 1.641704, -25242644.603147, 8.672832
0, 1, 10, -343021.474766, 1.641865, -25242644.603147, 8.672885
0, 2, 0, -343021.474766, 0.830900, -25242644.603147, 6.222393
0, 2, 1, -343021.474766, 0.827779, -25242644.603147, 6.222288
0, 2, 2, -343021.474766, 0.828007, -25242644.603147, 6.221500
0, 2, 3, -343021.474766, 0.828406, -25242644.603147, 6.221217
0, 2, 4, -343021.474766, 0.828612, -25242644.603147, 6.221348
0, 2, 5, -343021.474766, 0.827729, -25242644.603147, 6.220691
0, 2, 6, -343021.474766, 0.828294, -25242644.603147, 6.221215
0, 2, 7, -343021.474766, 0.827867, -25242644.603147, 6.222073
0, 2, 8, -343021.474766, 0.827846, -25242644.603147, 6.221529
0, 2, 9, -343021.474766, 0.827825, -25242644.603147, 6.221121
0, 2, 10, -343021.474766, 0.827902, -25242644.603147, 6.221954
0, 4, 0, -343021.474766, 0.424635, -25242644.603147, 4.410268
0, 4, 1, -343021.474766, 0.424302, -25242644.603147, 4.412266
0, 4, 2, -343021.474766, 0.424399, -25242644.603147, 4.411713
0, 4, 3, -343021.474766, 0.423798, -25242644.603147, 4.412218
0, 4, 4, -343021.474766, 0.424324, -25242644.603147, 4.411830
0, 4, 5, -343021.474766, 0.425006, -25242644.603147, 4.410902
0, 4, 6, -343021.474766, 0.424223, -25242644.603147, 4.411173
0, 4, 7, -343021.474766, 0.424228, -25242644.603147, 4.411115
0, 4, 8, -343021.474766, 0.424090, -25242644.603147, 4.410614
0, 4, 9, -343021.474766, 0.425136, -25242644.603147, 4.410308
0, 4, 10, -343021.474766, 0.424288, -25242644.603147, 4.411412
0, 6, 0, -343021.474766, 0.296566, -25242644.603147, 2.730427
0, 6, 1, -343021.474766, 0.293602, -25242644.603147, 2.730875
0, 6, 2, -343021.474766, 0.295220, -25242644.603147, 2.731364
0, 6, 3, -343021.474766, 0.294721, -25242644.603147, 2.731455
0, 6, 4, -343021.474766, 0.341221, -25242644.603147, 2.731382
0, 6, 5, -343021.474766, 0.294495, -25242644.603147, 2.730568
0, 6, 6, -343021.474766, 0.293572, -25242644.603147, 2.729406
0, 6, 7, -343021.474766, 0.294728, -25242644.603147, 2.744207
0, 6, 8, -343021.474766, 0.294995, -25242644.603147, 2.730112
0, 6, 9, -343021.474766, 0.317198, -25242644.603147, 2.773753
0, 6, 10, -343021.474766, 0.298160, -25242644.603147, 2.730729
0, 8, 0, -343021.474766, 0.253551, -25242644.603147, 1.576715
0, 8, 1, -343021.474766, 0.231549, -25242644.603147, 1.578166
0, 8, 2, -343021.474766, 0.228731, -25242644.603147, 1.578303
0, 8, 3, -343021.474766, 0.230489, -25242644.603147, 1.578474
0, 8, 4, -343021.474766, 0.228046, -25242644.603147, 1.577816
0, 8, 5, -343021.474766, 0.229885, -25242644.603147, 1.578343
0, 8, 6, -343021.474766, 0.231429, -25242644.603147, 1.577228
0, 8, 7, -343021.474766, 0.240970, -25242644.603147, 1.577511
0, 8, 8, -343021.474766, 0.241688, -25242644.603147, 1.578723
0, 8, 9, -343021.474766, 0.229905, -25242644.603147, 1.576266
0, 8, 10, -343021.474766, 0.257512, -25242644.603147, 1.581721
0, 12, 0, -343021.474766, 0.180280, -25242644.603147, 0.953218
0, 12, 1, -343021.474766, 0.176129, -25242644.603147, 0.948610
0, 12, 2, -343021.474766, 0.175251, -25242644.603147, 0.943046
0, 12, 3, -343021.474766, 0.187682, -25242644.603147, 0.956997
0, 12, 4, -343021.474766, 0.175708, -25242644.603147, 0.944328
0, 12, 5, -343021.474766, 0.180986, -25242644.603147, 0.951500
0, 12, 6, -343021.474766, 0.178688, -25242644.603147, 0.949390
0, 12, 7, -343021.474766, 0.181811, -25242644.603147, 0.952464
0, 12, 8, -343021.474766, 0.184766, -25242644.603147, 1.036892
0, 12, 9, -343021.474766, 0.178992, -25242644.603147, 0.944521
0, 12, 10, -343021.474766, 0.182374, -25242644.603147, 0.939990
0, 16, 0, -343021.474766, 0.172016, -25242644.603147, 0.732482
0, 16, 1, -343021.474766, 0.197441, -25242644.603147, 0.811975
0, 16, 2, -343021.474766, 0.178918, -25242644.603147, 0.739346
0, 16, 3, -343021.474766, 0.176946, -25242644.603147, 0.774607
0, 16, 4, -343021.474766, 0.200340, -25242644.603147, 0.784439
0, 16, 5, -343021.474766, 0.169719, -25242644.603147, 0.749596
0, 16, 6, -343021.474766, 0.210723, -25242644.603147, 0.783375
0, 16, 7, -343021.474766, 0.204818, -25242644.603147, 0.760080
0, 16, 8, -343021.474766, 0.181086, -25242644.603147, 0.788265
0, 16, 9, -343021.474766, 0.205552, -25242644.603147, 0.840634
0, 16, 10, -343021.474766, 0.178372, -25242644.603147, 0.769347
1, 1, 0, -343021.474766, 1.642800, -25242644.603147, 8.657821
1, 1, 1, -343021.474766, 1.641078, -25242644.603147, 8.659826
1, 1, 2, -343021.474766, 1.641837, -25242644.603147, 8.657635
1, 1, 3, -343021.474766, 1.642673, -25242644.603147, 8.657957
1, 1, 4, -343021.474766, 1.642069, -25242644.603147, 8.657526
1, 1, 5, -343021.474766, 1.642662, -25242644.603147, 8.658201
1, 1, 6, -343021.474766, 1.642305, -25242644.603147, 8.656924
1, 1, 7, -343021.474766, 1.641745, -25242644.603147, 8.657642
1, 1, 8, -343021.474766, 1.642284, -25242644.603147, 8.655567
1, 1, 9, -343021.474766, 1.642327, -25242644.603147, 8.657861
1, 1, 10, -343021.474766, 1.641647, -25242644.603147, 8.657820
1, 2, 0, -343021.474766, 0.832782, -25242644.603147, 6.211150
1, 2, 1, -343021.474766, 0.829677, -25242644.603147, 6.210987
1, 2, 2, -343021.474766, 0.829446, -25242644.603147, 6.211097
1, 2, 3, -343021.474766, 0.830354, -25242644.603147, 6.211587
1, 2, 4, -343021.474766, 0.829689, -25242644.603147, 6.210887
1, 2, 5, -343021.474766, 0.829447, -25242644.603147, 6.210690
1, 2, 6, -343021.474766, 0.829672, -25242644.603147, 6.211206
1, 2, 7, -343021.474766, 0.829520, -25242644.603147, 6.210038
1, 2, 8, -343021.474766, 0.829887, -25242644.603147, 6.211125
1, 2, 9, -343021.474766, 0.829008, -25242644.603147, 6.210744
1, 2, 10, -343021.474766, 0.830009, -25242644.603147, 6.210675
1, 4, 0, -343021.474766, 0.429419, -25242644.603147, 4.406685
1, 4, 1, -343021.474766, 0.428545, -25242644.603147, 4.406652
1, 4, 2, -343021.474766, 0.428240, -25242644.603147, 4.405473
1, 4, 3, -343021.474766, 0.428813, -25242644.603147, 4.406602
1, 4, 4, -343021.474766, 0.429672, -25242644.603147, 4.406845
1, 4, 5, -343021.474766, 0.428679, -25242644.603147, 4.406653
1, 4, 6, -343021.474766, 0.428686, -25242644.603147, 4.406635
1, 4, 7, -343021.474766, 0.428842, -25242644.603147, 4.405747
1, 4, 8, -343021.474766, 0.429197, -25242644.603147, 4.405472
1, 4, 9, -343021.474766, 0.428014, -25242644.603147, 4.405303
1, 4, 10, -343021.474766, 0.429338, -25242644.603147, 4.406112
1, 6, 0, -343021.474766, 0.316397, -25242644.603147, 2.731892
1, 6, 1, -343021.474766, 0.301105, -25242644.603147, 2.732498
1, 6, 2, -343021.474766, 0.300119, -25242644.603147, 2.731927
1, 6, 3, -343021.474766, 0.317038, -25242644.603147, 2.731572
1, 6, 4, -343021.474766, 0.299831, -25242644.603147, 2.731063
1, 6, 5, -343021.474766, 0.317722, -25242644.603147, 2.732436
1, 6, 6, -343021.474766, 0.300204, -25242644.603147, 2.732166
1, 6, 7, -343021.474766, 0.301415, -25242644.603147, 2.731264
1, 6, 8, -343021.474766, 0.301304, -25242644.603147, 2.730893
1, 6, 9, -343021.474766, 0.316400, -25242644.603147, 2.730806
1, 6, 10, -343021.474766, 0.301668, -25242644.603147, 2.731795
1, 8, 0, -343021.474766, 0.247380, -25242644.603147, 1.580224
1, 8, 1, -343021.474766, 0.236925, -25242644.603147, 1.579499
1, 8, 2, -343021.474766, 0.236779, -25242644.603147, 1.579259
1, 8, 3, -343021.474766, 0.236429, -25242644.603147, 1.580689
1, 8, 4, -343021.474766, 0.235017, -25242644.603147, 1.578206
1, 8, 5, -343021.474766, 0.239463, -25242644.603147, 1.578337
1, 8, 6, -343021.474766, 0.234712, -25242644.603147, 1.578855
1, 8, 7, -343021.474766, 0.235241, -25242644.603147, 1.579581
1, 8, 8, -343021.474766, 0.236452, -25242644.603147, 1.578871
1, 8, 9, -343021.474766, 0.236457, -25242644.603147, 1.580786
1, 8, 10, -343021.474766, 0.236207, -25242644.603147, 1.579310
1, 12, 0, -343021.474766, 0.180226, -25242644.603147, 1.062800
1, 12, 1, -343021.474766, 0.175947, -25242644.603147, 1.064479
1, 12, 2, -343021.474766, 0.179115, -25242644.603147, 1.053931
1, 12, 3, -343021.474766, 0.182830, -25242644.603147, 1.063234
1, 12, 4, -343021.474766, 0.182957, -25242644.603147, 1.071899
1, 12, 5, -343021.474766, 0.188010, -25242644.603147, 1.148266
1, 12, 6, -343021.474766, 0.179615, -25242644.603147, 1.065325
1, 12, 7, -343021.474766, 0.175596, -25242644.603147, 1.067333
1, 12, 8, -343021.474766, 0.183637, -25242644.603147, 1.068296
1, 12, 9, -343021.474766, 0.176758, -25242644.603147, 1.066090
1, 12, 10, -343021.474766, 0.175741, -25242644.603147, 1.066852
1, 16, 0, -343021.474766, 0.161025, -25242644.603147, 0.858208
1, 16, 1, -343021.474766, 0.157254, -25242644.603147, 0.799980
1, 16, 2, -343021.474766, 0.159780, -25242644.603147, 0.812346
1, 16, 3, -343021.474766, 0.162227, -25242644.603147, 0.807720
1, 16, 4, -343021.474766, 0.168412, -25242644.603147, 0.851860
1, 16, 5, -343021.474766, 0.155346, -25242644.603147, 0.841394
1, 16, 6, -343021.474766, 0.179288, -25242644.603147, 0.770393
1, 16, 7, -343021.474766, 0.153942, -25242644.603147, 0.766778
1, 16, 8, -343021.474766, 0.156055, -25242644.603147, 0.830729
1, 16, 9, -343021.474766, 0.154803, -25242644.603147, 0.807925
1, 16, 10, -343021.474766, 0.164279, -25242644.603147, 0.776235
