exec, num_threads, reps, res1, t1, res2, t2 
0, 1, 0, -343021.474766, 0.162181, -25242644.603147, 2.731359
0, 1, 1, -343021.474766, 0.161989, -25242644.603147, 2.732184
0, 1, 2, -343021.474766, 0.173490, -25242644.603147, 2.732050
0, 1, 3, -343021.474766, 0.198331, -25242644.603147, 2.731380
0, 1, 4, -343021.474766, 0.144613, -25242644.603147, 2.731981
0, 1, 5, -343021.474766, 0.138709, -25242644.603147, 2.731549
0, 1, 6, -343021.474766, 0.183859, -25242644.603147, 2.731908
0, 1, 7, -343021.474766, 0.156882, -25242644.603147, 2.735301
0, 1, 8, -343021.474766, 0.147179, -25242644.603147, 2.732575
0, 1, 9, -343021.474766, 0.157426, -25242644.603147, 2.731523
0, 1, 10, -343021.474766, 0.154315, -25242644.603147, 2.732669
