exec, num_threads, reps, res1, t1, res2, t2 
6, 1, 0, -343021.474766, 1.682294, -25242644.603147, 8.651447
6, 1, 1, -343021.474766, 1.670758, -25242644.603147, 8.653816
6, 1, 2, -343021.474766, 1.669133, -25242644.603147, 8.654189
6, 1, 3, -343021.474766, 1.680046, -25242644.603147, 8.650068
6, 1, 4, -343021.474766, 1.674378, -25242644.603147, 8.650031
6, 1, 5, -343021.474766, 1.681182, -25242644.603147, 8.650116
6, 1, 6, -343021.474766, 1.678959, -25242644.603147, 8.648919
6, 1, 7, -343021.474766, 1.674061, -25242644.603147, 8.649802
6, 1, 8, -343021.474766, 1.671496, -25242644.603147, 8.648909
6, 1, 9, -343021.474766, 1.673966, -25242644.603147, 8.650352
6, 1, 10, -343021.474766, 1.668711, -25242644.603147, 8.650309
6, 2, 0, -343021.474766, 0.866064, -25242644.603147, 4.551942
6, 2, 1, -343021.474766, 0.855059, -25242644.603147, 4.527851
6, 2, 2, -343021.474766, 0.844262, -25242644.603147, 4.563937
6, 2, 3, -343021.474766, 0.824601, -25242644.603147, 4.572499
6, 2, 4, -343021.474766, 0.856585, -25242644.603147, 4.567191
6, 2, 5, -343021.474766, 0.853939, -25242644.603147, 4.557317
6, 2, 6, -343021.474766, 0.856741, -25242644.603147, 4.532644
6, 2, 7, -343021.474766, 0.858068, -25242644.603147, 4.545184
6, 2, 8, -343021.474766, 0.844125, -25242644.603147, 4.524227
6, 2, 9, -343021.474766, 0.838703, -25242644.603147, 4.542916
6, 2, 10, -343021.474766, 0.853979, -25242644.603147, 4.557642
6, 4, 0, -343021.474766, 0.448419, -25242644.603147, 2.528946
6, 4, 1, -343021.474766, 0.446009, -25242644.603147, 2.487152
6, 4, 2, -343021.474766, 0.444052, -25242644.603147, 2.569162
6, 4, 3, -343021.474766, 0.430559, -25242644.603147, 2.488955
6, 4, 4, -343021.474766, 0.443053, -25242644.603147, 2.583050
6, 4, 5, -343021.474766, 0.432910, -25242644.603147, 2.575919
6, 4, 6, -343021.474766, 0.456874, -25242644.603147, 2.493292
6, 4, 7, -343021.474766, 0.452875, -25242644.603147, 2.497926
6, 4, 8, -343021.474766, 0.444153, -25242644.603147, 2.483897
6, 4, 9, -343021.474766, 0.450543, -25242644.603147, 2.587725
6, 4, 10, -343021.474766, 0.447166, -25242644.603147, 2.595917
6, 6, 0, -343021.474766, 0.326096, -25242644.603147, 1.656892
6, 6, 1, -343021.474766, 0.311700, -25242644.603147, 1.659382
6, 6, 2, -343021.474766, 0.332346, -25242644.603147, 1.657306
6, 6, 3, -343021.474766, 0.302710, -25242644.603147, 1.651269
6, 6, 4, -343021.474766, 0.299450, -25242644.603147, 1.658796
6, 6, 5, -343021.474766, 0.339583, -25242644.603147, 1.661282
6, 6, 6, -343021.474766, 0.351804, -25242644.603147, 1.657913
6, 6, 7, -343021.474766, 0.360102, -25242644.603147, 1.666706
6, 6, 8, -343021.474766, 0.311450, -25242644.603147, 1.652192
6, 6, 9, -343021.474766, 0.329906, -25242644.603147, 1.638631
6, 6, 10, -343021.474766, 0.308338, -25242644.603147, 1.650471
6, 8, 0, -343021.474766, 0.244778, -25242644.603147, 1.248178
6, 8, 1, -343021.474766, 0.237914, -25242644.603147, 1.261927
6, 8, 2, -343021.474766, 0.262981, -25242644.603147, 1.268465
6, 8, 3, -343021.474766, 0.244800, -25242644.603147, 1.244630
6, 8, 4, -343021.474766, 0.248176, -25242644.603147, 1.259203
6, 8, 5, -343021.474766, 0.252935, -25242644.603147, 1.213925
6, 8, 6, -343021.474766, 0.249241, -25242644.603147, 1.265359
6, 8, 7, -343021.474766, 0.224462, -25242644.603147, 1.257168
6, 8, 8, -343021.474766, 0.240864, -25242644.603147, 1.246364
6, 8, 9, -343021.474766, 0.229752, -25242644.603147, 1.264204
6, 8, 10, -343021.474766, 0.249015, -25242644.603147, 1.217901
6, 12, 0, -343021.474766, 0.176726, -25242644.603147, 0.874197
6, 12, 1, -343021.474766, 0.177468, -25242644.603147, 0.876334
6, 12, 2, -343021.474766, 0.178297, -25242644.603147, 0.878519
6, 12, 3, -343021.474766, 0.175043, -25242644.603147, 0.905526
6, 12, 4, -343021.474766, 0.176327, -25242644.603147, 0.875441
6, 12, 5, -343021.474766, 0.202860, -25242644.603147, 0.864237
6, 12, 6, -343021.474766, 0.193316, -25242644.603147, 0.881562
6, 12, 7, -343021.474766, 0.186323, -25242644.603147, 0.881376
6, 12, 8, -343021.474766, 0.200190, -25242644.603147, 0.872549
6, 12, 9, -343021.474766, 0.185006, -25242644.603147, 0.875908
6, 12, 10, -343021.474766, 0.178027, -25242644.603147, 0.886121
6, 16, 0, -343021.474766, 0.172935, -25242644.603147, 0.705627
6, 16, 1, -343021.474766, 0.137763, -25242644.603147, 0.708738
6, 16, 2, -343021.474766, 0.165605, -25242644.603147, 0.846104
6, 16, 3, -343021.474766, 0.168453, -25242644.603147, 0.740224
6, 16, 4, -343021.474766, 0.164256, -25242644.603147, 0.708251
6, 16, 5, -343021.474766, 0.144998, -25242644.603147, 0.707999
6, 16, 6, -343021.474766, 0.153207, -25242644.603147, 0.695129
6, 16, 7, -343021.474766, 0.146883, -25242644.603147, 0.695468
6, 16, 8, -343021.474766, 0.171256, -25242644.603147, 0.729222
6, 16, 9, -343021.474766, 0.162822, -25242644.603147, 0.843810
6, 16, 10, -343021.474766, 0.150958, -25242644.603147, 0.745541
