exec, num_threads, reps, res1, t1, res2, t2 
1, 1, 0, -343021.474766, 1.681742, -25242644.603147, 8.654202
1, 1, 1, -343021.474766, 1.679005, -25242644.603147, 8.654161
1, 1, 2, -343021.474766, 1.675347, -25242644.603147, 8.653183
1, 1, 3, -343021.474766, 1.675867, -25242644.603147, 8.655590
1, 1, 4, -343021.474766, 1.642523, -25242644.603147, 8.655962
1, 1, 5, -343021.474766, 1.676149, -25242644.603147, 8.654221
1, 1, 6, -343021.474766, 1.642850, -25242644.603147, 8.653503
1, 1, 7, -343021.474766, 1.674360, -25242644.603147, 8.655473
1, 1, 8, -343021.474766, 1.642116, -25242644.603147, 8.653218
1, 1, 9, -343021.474766, 1.668841, -25242644.603147, 8.654884
1, 1, 10, -343021.474766, 1.671886, -25242644.603147, 8.655773
1, 2, 0, -343021.474766, 0.886900, -25242644.603147, 4.529533
1, 2, 1, -343021.474766, 0.897071, -25242644.603147, 4.529455
1, 2, 2, -343021.474766, 0.873430, -25242644.603147, 4.530011
1, 2, 3, -343021.474766, 0.874054, -25242644.603147, 4.530771
1, 2, 4, -343021.474766, 0.878702, -25242644.603147, 4.531248
1, 2, 5, -343021.474766, 0.880215, -25242644.603147, 4.530078
1, 2, 6, -343021.474766, 0.885755, -25242644.603147, 4.532106
1, 2, 7, -343021.474766, 0.882155, -25242644.603147, 4.531741
1, 2, 8, -343021.474766, 0.874357, -25242644.603147, 4.532211
1, 2, 9, -343021.474766, 0.880637, -25242644.603147, 4.530548
1, 2, 10, -343021.474766, 0.847119, -25242644.603147, 4.530861
1, 4, 0, -343021.474766, 0.473831, -25242644.603147, 2.336522
1, 4, 1, -343021.474766, 0.472404, -25242644.603147, 2.335171
1, 4, 2, -343021.474766, 0.472082, -25242644.603147, 2.335709
1, 4, 3, -343021.474766, 0.469460, -25242644.603147, 2.336131
1, 4, 4, -343021.474766, 0.467514, -25242644.603147, 2.335057
1, 4, 5, -343021.474766, 0.461703, -25242644.603147, 2.334732
1, 4, 6, -343021.474766, 0.463955, -25242644.603147, 2.335320
1, 4, 7, -343021.474766, 0.462016, -25242644.603147, 2.335301
1, 4, 8, -343021.474766, 0.468709, -25242644.603147, 2.335694
1, 4, 9, -343021.474766, 0.462141, -25242644.603147, 2.335452
1, 4, 10, -343021.474766, 0.465194, -25242644.603147, 2.334547
1, 6, 0, -343021.474766, 0.333481, -25242644.603147, 1.945372
1, 6, 1, -343021.474766, 0.335604, -25242644.603147, 1.945416
1, 6, 2, -343021.474766, 0.330966, -25242644.603147, 1.944986
1, 6, 3, -343021.474766, 0.328790, -25242644.603147, 1.944371
1, 6, 4, -343021.474766, 0.298269, -25242644.603147, 1.945643
1, 6, 5, -343021.474766, 0.326762, -25242644.603147, 1.973344
1, 6, 6, -343021.474766, 0.519206, -25242644.603147, 3.022507
1, 6, 7, -343021.474766, 0.337653, -25242644.603147, 1.945203
1, 6, 8, -343021.474766, 0.393846, -25242644.603147, 1.943937
1, 6, 9, -343021.474766, 0.331304, -25242644.603147, 1.944311
1, 6, 10, -343021.474766, 0.324636, -25242644.603147, 1.950655
1, 8, 0, -343021.474766, 0.264732, -25242644.603147, 1.558605
1, 8, 1, -343021.474766, 0.248875, -25242644.603147, 1.558952
1, 8, 2, -343021.474766, 0.375243, -25242644.603147, 1.557824
1, 8, 3, -343021.474766, 0.354291, -25242644.603147, 1.557592
1, 8, 4, -343021.474766, 0.373726, -25242644.603147, 1.558544
1, 8, 5, -343021.474766, 0.260504, -25242644.603147, 1.586161
1, 8, 6, -343021.474766, 0.399566, -25242644.603147, 1.559486
1, 8, 7, -343021.474766, 0.266699, -25242644.603147, 1.558131
1, 8, 8, -343021.474766, 0.344636, -25242644.603147, 1.558554
1, 8, 9, -343021.474766, 0.362182, -25242644.603147, 1.558024
1, 8, 10, -343021.474766, 0.262930, -25242644.603147, 1.558570
1, 12, 0, -343021.474766, 0.301965, -25242644.603147, 1.444446
1, 12, 1, -343021.474766, 0.243367, -25242644.603147, 1.638863
1, 12, 2, -343021.474766, 0.297945, -25242644.603147, 1.428782
1, 12, 3, -343021.474766, 0.235998, -25242644.603147, 1.427837
1, 12, 4, -343021.474766, 0.161824, -25242644.603147, 1.427010
1, 12, 5, -343021.474766, 0.198385, -25242644.603147, 1.646949
1, 12, 6, -343021.474766, 0.195596, -25242644.603147, 1.426464
1, 12, 7, -343021.474766, 0.189968, -25242644.603147, 1.503974
1, 12, 8, -343021.474766, 0.198537, -25242644.603147, 1.428854
1, 12, 9, -343021.474766, 0.198714, -25242644.603147, 1.428527
1, 12, 10, -343021.474766, 0.194017, -25242644.603147, 1.427012
1, 16, 0, -343021.474766, 0.164701, -25242644.603147, 1.297267
1, 16, 1, -343021.474766, 0.217512, -25242644.603147, 1.826537
1, 16, 2, -343021.474766, 0.200737, -25242644.603147, 1.297890
1, 16, 3, -343021.474766, 0.223059, -25242644.603147, 1.300484
1, 16, 4, -343021.474766, 0.188684, -25242644.603147, 1.300619
1, 16, 5, -343021.474766, 0.165954, -25242644.603147, 1.296455
1, 16, 6, -343021.474766, 0.218017, -25242644.603147, 1.297949
1, 16, 7, -343021.474766, 0.163976, -25242644.603147, 1.300851
1, 16, 8, -343021.474766, 0.179903, -25242644.603147, 1.297050
1, 16, 9, -343021.474766, 0.197117, -25242644.603147, 1.300042
1, 16, 10, -343021.474766, 0.158136, -25242644.603147, 1.299965
2, 1, 0, -343021.474766, 1.642664, -25242644.603147, 8.655075
2, 1, 1, -343021.474766, 1.677829, -25242644.603147, 8.655518
2, 1, 2, -343021.474766, 1.669016, -25242644.603147, 8.654165
2, 1, 3, -343021.474766, 1.671680, -25242644.603147, 8.654533
2, 1, 4, -343021.474766, 1.671033, -25242644.603147, 8.655859
2, 1, 5, -343021.474766, 1.673669, -25242644.603147, 8.655195
