chunksize, num_threads, reps, res1, t1, res2, t2
1, 1, 01, -343021.474766, 1.642234, -25242644.603147, 8.678123
1, 1, 02, -343021.474766, 1.646073, -25242644.603147, 8.677359
1, 1, 03, -343021.474766, 1.641293, -25242644.603147, 8.675386
1, 1, 04, -343021.474766, 1.640593, -25242644.603147, 8.674390
1, 1, 05, -343021.474766, 1.642807, -25242644.603147, 8.675020
1, 1, 06, -343021.474766, 1.641544, -25242644.603147, 8.674191
1, 1, 07, -343021.474766, 1.640775, -25242644.603147, 8.673729
1, 1, 08, -343021.474766, 1.641664, -25242644.603147, 8.674698
1, 1, 09, -343021.474766, 1.641631, -25242644.603147, 8.674987
1, 1, 10, -343021.474766, 1.642596, -25242644.603147, 8.675238
1, 2, 01, -343021.474766, 0.927013, -25242644.603147, 4.555396
1, 2, 02, -343021.474766, 0.924951, -25242644.603147, 4.556409
1, 2, 03, -343021.474766, 0.927676, -25242644.603147, 4.556711
1, 2, 04, -343021.474766, 0.933006, -25242644.603147, 4.535630
1, 2, 05, -343021.474766, 0.922733, -25242644.603147, 4.551511
1, 2, 06, -343021.474766, 0.931290, -25242644.603147, 4.623958
1, 2, 07, -343021.474766, 0.855572, -25242644.603147, 4.442809
1, 2, 08, -343021.474766, 0.929526, -25242644.603147, 4.554785
1, 2, 09, -343021.474766, 0.928799, -25242644.603147, 4.558314
1, 2, 10, -343021.474766, 0.924358, -25242644.603147, 4.574414
1, 4, 01, -343021.474766, 0.452020, -25242644.603147, 2.783266
1, 4, 02, -343021.474766, 0.453852, -25242644.603147, 2.732699
1, 4, 03, -343021.474766, 0.453158, -25242644.603147, 2.656154
1, 4, 04, -343021.474766, 0.452527, -25242644.603147, 2.738863
1, 4, 05, -343021.474766, 0.454199, -25242644.603147, 2.713463
1, 4, 06, -343021.474766, 0.455855, -25242644.603147, 2.662311
1, 4, 07, -343021.474766, 0.454846, -25242644.603147, 2.668034
1, 4, 08, -343021.474766, 0.452638, -25242644.603147, 2.791697
1, 4, 09, -343021.474766, 0.454633, -25242644.603147, 2.663241
1, 4, 10, -343021.474766, 0.453732, -25242644.603147, 2.773666
1, 6, 01, -343021.474766, 0.310950, -25242644.603147, 2.065817
1, 6, 02, -343021.474766, 0.309579, -25242644.603147, 2.081107
1, 6, 03, -343021.474766, 0.304619, -25242644.603147, 2.060641
1, 6, 04, -343021.474766, 0.305315, -25242644.603147, 2.023647
1, 6, 05, -343021.474766, 0.305661, -25242644.603147, 2.021605
1, 6, 06, -343021.474766, 0.320150, -25242644.603147, 2.001953
1, 6, 07, -343021.474766, 0.305335, -25242644.603147, 1.945053
1, 6, 08, -343021.474766, 0.305319, -25242644.603147, 2.023007
1, 6, 09, -343021.474766, 0.308923, -25242644.603147, 1.928555
1, 6, 10, -343021.474766, 0.304635, -25242644.603147, 1.993937
1, 8, 01, -343021.474766, 0.231774, -25242644.603147, 1.600947
1, 8, 02, -343021.474766, 0.243749, -25242644.603147, 1.818622
1, 8, 03, -343021.474766, 0.242966, -25242644.603147, 1.655449
1, 8, 04, -343021.474766, 0.249862, -25242644.603147, 1.657186
1, 8, 05, -343021.474766, 0.232326, -25242644.603147, 1.575692
1, 8, 06, -343021.474766, 0.242322, -25242644.603147, 1.634670
1, 8, 07, -343021.474766, 0.233112, -25242644.603147, 1.621828
1, 8, 08, -343021.474766, 0.232802, -25242644.603147, 1.593549
1, 8, 09, -343021.474766, 0.231710, -25242644.603147, 1.681872
1, 8, 10, -343021.474766, 0.231582, -25242644.603147, 1.564474
1, 16, 01, -343021.474766, 0.127830, -25242644.603147, 0.938630
1, 16, 02, -343021.474766, 0.127658, -25242644.603147, 0.881120
1, 16, 03, -343021.474766, 0.133806, -25242644.603147, 1.054337
1, 16, 04, -343021.474766, 0.130621, -25242644.603147, 0.872277
1, 16, 05, -343021.474766, 0.127566, -25242644.603147, 0.928209
1, 16, 06, -343021.474766, 0.137755, -25242644.603147, 0.907078
1, 16, 07, -343021.474766, 0.125378, -25242644.603147, 0.947524
1, 16, 08, -343021.474766, 0.124507, -25242644.603147, 0.877075
1, 16, 09, -343021.474766, 0.129900, -25242644.603147, 0.868608
1, 16, 10, -343021.474766, 0.128917, -25242644.603147, 0.883422
2, 1, 01, -343021.474766, 1.641320, -25242644.603147, 8.675575
2, 1, 02, -343021.474766, 1.641639, -25242644.603147, 8.673751
2, 1, 03, -343021.474766, 1.641436, -25242644.603147, 8.673868
2, 1, 04, -343021.474766, 1.641628, -25242644.603147, 8.674194
2, 1, 05, -343021.474766, 1.640662, -25242644.603147, 8.674900
2, 1, 06, -343021.474766, 1.642506, -25242644.603147, 8.674519
2, 1, 07, -343021.474766, 1.641119, -25242644.603147, 8.674994
2, 1, 08, -343021.474766, 1.640796, -25242644.603147, 8.674873
2, 1, 09, -343021.474766, 1.641341, -25242644.603147, 8.673631
2, 1, 10, -343021.474766, 1.643128, -25242644.603147, 8.673752
2, 2, 01, -343021.474766, 0.883071, -25242644.603147, 4.525380
2, 2, 02, -343021.474766, 0.884055, -25242644.603147, 4.550706
2, 2, 03, -343021.474766, 0.887827, -25242644.603147, 4.547313
2, 2, 04, -343021.474766, 0.886326, -25242644.603147, 4.547477
2, 2, 05, -343021.474766, 0.884672, -25242644.603147, 4.568747
2, 2, 06, -343021.474766, 0.883217, -25242644.603147, 4.539836
2, 2, 07, -343021.474766, 0.888712, -25242644.603147, 4.551416
2, 2, 08, -343021.474766, 0.882869, -25242644.603147, 4.537306
2, 2, 09, -343021.474766, 0.884565, -25242644.603147, 4.529227
2, 2, 10, -343021.474766, 0.885715, -25242644.603147, 4.521320
2, 4, 01, -343021.474766, 0.441864, -25242644.603147, 2.702528
2, 4, 02, -343021.474766, 0.441146, -25242644.603147, 2.692374
2, 4, 03, -343021.474766, 0.442220, -25242644.603147, 2.698151
2, 4, 04, -343021.474766, 0.439800, -25242644.603147, 2.692944
2, 4, 05, -343021.474766, 0.440909, -25242644.603147, 2.665444
2, 4, 06, -343021.474766, 0.441631, -25242644.603147, 2.720597
2, 4, 07, -343021.474766, 0.461398, -25242644.603147, 2.587321
2, 4, 08, -343021.474766, 0.440335, -25242644.603147, 2.808569
2, 4, 09, -343021.474766, 0.440495, -25242644.603147, 2.752588
2, 4, 10, -343021.474766, 0.439270, -25242644.603147, 2.744985
2, 6, 01, -343021.474766, 0.297419, -25242644.603147, 1.817408
2, 6, 02, -343021.474766, 0.292682, -25242644.603147, 1.788659
2, 6, 03, -343021.474766, 0.293151, -25242644.603147, 1.806853
2, 6, 04, -343021.474766, 0.311379, -25242644.603147, 1.771556
2, 6, 05, -343021.474766, 0.310289, -25242644.603147, 1.813938
2, 6, 06, -343021.474766, 0.294271, -25242644.603147, 1.773319
2, 6, 07, -343021.474766, 0.303207, -25242644.603147, 1.775131
2, 6, 08, -343021.474766, 0.293753, -25242644.603147, 1.808940
2, 6, 09, -343021.474766, 0.294178, -25242644.603147, 1.788571
2, 6, 10, -343021.474766, 0.292768, -25242644.603147, 1.800047
2, 8, 01, -343021.474766, 0.234186, -25242644.603147, 1.348527
2, 8, 02, -343021.474766, 0.235851, -25242644.603147, 1.326580
2, 8, 03, -343021.474766, 0.223090, -25242644.603147, 1.282497
2, 8, 04, -343021.474766, 0.231484, -25242644.603147, 1.328481
2, 8, 05, -343021.474766, 0.222061, -25242644.603147, 1.328028
2, 8, 06, -343021.474766, 0.222180, -25242644.603147, 1.298780
2, 8, 07, -343021.474766, 0.220674, -25242644.603147, 1.326453
2, 8, 08, -343021.474766, 0.225098, -25242644.603147, 1.375259
2, 8, 09, -343021.474766, 0.220770, -25242644.603147, 1.311627
2, 8, 10, -343021.474766, 0.221163, -25242644.603147, 1.340032
2, 16, 01, -343021.474766, 0.120796, -25242644.603147, 0.772771
2, 16, 02, -343021.474766, 0.129339, -25242644.603147, 0.781499
2, 16, 03, -343021.474766, 0.125496, -25242644.603147, 0.796214
2, 16, 04, -343021.474766, 0.119927, -25242644.603147, 0.768131
2, 16, 05, -343021.474766, 0.124176, -25242644.603147, 0.797777
2, 16, 06, -343021.474766, 0.121523, -25242644.603147, 0.804028
2, 16, 07, -343021.474766, 0.123918, -25242644.603147, 0.735110
2, 16, 08, -343021.474766, 0.120276, -25242644.603147, 0.761538
2, 16, 09, -343021.474766, 0.123843, -25242644.603147, 0.756891
2, 16, 10, -343021.474766, 0.125495, -25242644.603147, 0.842827
4, 1, 01, -343021.474766, 1.640870, -25242644.603147, 8.674472
4, 1, 02, -343021.474766, 1.641816, -25242644.603147, 8.673635
4, 1, 03, -343021.474766, 1.640992, -25242644.603147, 8.673608
4, 1, 04, -343021.474766, 1.640927, -25242644.603147, 8.684649
4, 1, 05, -343021.474766, 1.640980, -25242644.603147, 8.672672
4, 1, 06, -343021.474766, 1.641101, -25242644.603147, 8.675414
4, 1, 07, -343021.474766, 1.641379, -25242644.603147, 8.674128
4, 1, 08, -343021.474766, 1.641689, -25242644.603147, 8.674902
4, 1, 09, -343021.474766, 1.640769, -25242644.603147, 8.675399
4, 1, 10, -343021.474766, 1.642883, -25242644.603147, 8.674815
4, 2, 01, -343021.474766, 0.867564, -25242644.603147, 4.539338
4, 2, 02, -343021.474766, 0.864539, -25242644.603147, 4.564085
4, 2, 03, -343021.474766, 0.864927, -25242644.603147, 4.533942
4, 2, 04, -343021.474766, 0.865239, -25242644.603147, 4.534821
4, 2, 05, -343021.474766, 0.865665, -25242644.603147, 4.535520
4, 2, 06, -343021.474766, 0.867524, -25242644.603147, 4.557580
4, 2, 07, -343021.474766, 0.865056, -25242644.603147, 4.554823
4, 2, 08, -343021.474766, 0.865455, -25242644.603147, 4.537961
4, 2, 09, -343021.474766, 0.865082, -25242644.603147, 4.539220
4, 2, 10, -343021.474766, 0.865880, -25242644.603147, 4.557380
4, 4, 01, -343021.474766, 0.432313, -25242644.603147, 2.312647
4, 4, 02, -343021.474766, 0.431606, -25242644.603147, 2.320278
4, 4, 03, -343021.474766, 0.428310, -25242644.603147, 2.352948
4, 4, 04, -343021.474766, 0.426509, -25242644.603147, 2.325057
4, 4, 05, -343021.474766, 0.431670, -25242644.603147, 2.325023
4, 4, 06, -343021.474766, 0.430950, -25242644.603147, 2.312415
4, 4, 07, -343021.474766, 0.431703, -25242644.603147, 2.319491
4, 4, 08, -343021.474766, 0.431923, -25242644.603147, 2.356171
4, 4, 09, -343021.474766, 0.428712, -25242644.603147, 2.329180
4, 4, 10, -343021.474766, 0.432684, -25242644.603147, 2.316890
4, 6, 01, -343021.474766, 0.305387, -25242644.603147, 1.664457
4, 6, 02, -343021.474766, 0.290152, -25242644.603147, 1.665897
4, 6, 03, -343021.474766, 0.288257, -25242644.603147, 1.656890
4, 6, 04, -343021.474766, 0.310805, -25242644.603147, 1.667710
4, 6, 05, -343021.474766, 0.305374, -25242644.603147, 1.676054
4, 6, 06, -343021.474766, 0.289405, -25242644.603147, 1.672600
4, 6, 07, -343021.474766, 0.288196, -25242644.603147, 1.668250
4, 6, 08, -343021.474766, 0.288115, -25242644.603147, 1.670086
4, 6, 09, -343021.474766, 0.290033, -25242644.603147, 1.665942
4, 6, 10, -343021.474766, 0.289263, -25242644.603147, 1.655653
4, 8, 01, -343021.474766, 0.219947, -25242644.603147, 1.237515
4, 8, 02, -343021.474766, 0.219269, -25242644.603147, 1.241303
4, 8, 03, -343021.474766, 0.218480, -25242644.603147, 1.244300
4, 8, 04, -343021.474766, 0.229546, -25242644.603147, 1.235434
4, 8, 05, -343021.474766, 0.219361, -25242644.603147, 1.245057
4, 8, 06, -343021.474766, 0.217335, -25242644.603147, 1.233944
4, 8, 07, -343021.474766, 0.217252, -25242644.603147, 1.241657
4, 8, 08, -343021.474766, 0.218868, -25242644.603147, 1.243276
4, 8, 09, -343021.474766, 0.228624, -25242644.603147, 1.214117
4, 8, 10, -343021.474766, 0.230056, -25242644.603147, 1.249261
4, 16, 01, -343021.474766, 0.124709, -25242644.603147, 0.738533
4, 16, 02, -343021.474766, 0.122237, -25242644.603147, 0.730139
4, 16, 03, -343021.474766, 0.122183, -25242644.603147, 0.747526
4, 16, 04, -343021.474766, 0.122496, -25242644.603147, 0.726123
4, 16, 05, -343021.474766, 0.119032, -25242644.603147, 0.782227
4, 16, 06, -343021.474766, 0.117365, -25242644.603147, 0.737322
4, 16, 07, -343021.474766, 0.119602, -25242644.603147, 0.730954
4, 16, 08, -343021.474766, 0.118638, -25242644.603147, 0.717740
4, 16, 09, -343021.474766, 0.116477, -25242644.603147, 0.739566
4, 16, 10, -343021.474766, 0.117465, -25242644.603147, 0.722400
8, 1, 01, -343021.474766, 1.641566, -25242644.603147, 8.674817
8, 1, 02, -343021.474766, 1.640696, -25242644.603147, 8.676579
8, 1, 03, -343021.474766, 1.640850, -25242644.603147, 8.675416
