num_threads, reps, res1, t1, res2, t2
1, 01, -343021.474766, 1.681483, -25242644.603147, 8.670760
1, 02, -343021.474766, 1.642592, -25242644.603147, 8.669436
1, 03, -343021.474766, 1.641379, -25242644.603147, 8.675584
1, 04, -343021.474766, 1.643441, -25242644.603147, 8.675163
1, 05, -343021.474766, 1.674956, -25242644.603147, 8.671186
1, 06, -343021.474766, 1.674741, -25242644.603147, 8.671556
1, 07, -343021.474766, 1.676141, -25242644.603147, 8.669233
1, 08, -343021.474766, 1.674786, -25242644.603147, 8.675739
1, 09, -343021.474766, 1.642864, -25242644.603147, 8.672441
1, 10, -343021.474766, 1.670447, -25242644.603147, 8.672421
2, 01, -343021.474766, 0.858478, -25242644.603147, 4.467932
2, 02, -343021.474766, 0.824744, -25242644.603147, 4.469014
2, 03, -343021.474766, 0.824166, -25242644.603147, 4.464695
2, 04, -343021.474766, 0.845020, -25242644.603147, 4.467413
2, 05, -343021.474766, 0.838904, -25242644.603147, 4.464711
2, 06, -343021.474766, 0.855150, -25242644.603147, 4.463876
2, 07, -343021.474766, 0.848674, -25242644.603147, 4.467444
2, 08, -343021.474766, 0.839310, -25242644.603147, 4.472470
2, 09, -343021.474766, 0.824273, -25242644.603147, 4.471226
2, 10, -343021.474766, 0.842074, -25242644.603147, 4.469611
4, 01, -343021.474766, 0.456862, -25242644.603147, 2.229055
4, 02, -343021.474766, 0.442016, -25242644.603147, 2.231988
4, 03, -343021.474766, 0.418249, -25242644.603147, 2.229773
4, 04, -343021.474766, 0.443385, -25242644.603147, 2.230786
4, 05, -343021.474766, 0.435277, -25242644.603147, 2.230152
4, 06, -343021.474766, 0.447482, -25242644.603147, 2.229035
4, 07, -343021.474766, 0.449771, -25242644.603147, 2.235805
4, 08, -343021.474766, 0.437183, -25242644.603147, 2.228180
4, 09, -343021.474766, 0.451621, -25242644.603147, 2.228969
4, 10, -343021.474766, 0.439269, -25242644.603147, 2.228040
6, 01, -343021.474766, 0.325860, -25242644.603147, 1.559098
6, 02, -343021.474766, 0.297300, -25242644.603147, 1.565442
6, 03, -343021.474766, 0.291769, -25242644.603147, 1.560343
6, 04, -343021.474766, 0.309535, -25242644.603147, 1.559360
6, 05, -343021.474766, 0.312727, -25242644.603147, 1.560100
6, 06, -343021.474766, 0.321231, -25242644.603147, 1.564693
6, 07, -343021.474766, 0.312305, -25242644.603147, 1.564655
6, 08, -343021.474766, 0.309991, -25242644.603147, 1.565105
6, 09, -343021.474766, 0.309134, -25242644.603147, 1.560414
6, 10, -343021.474766, 0.309743, -25242644.603147, 1.560120
8, 01, -343021.474766, 0.256563, -25242644.603147, 1.172108
8, 02, -343021.474766, 0.246210, -25242644.603147, 1.172002
8, 03, -343021.474766, 0.240416, -25242644.603147, 1.189327
8, 04, -343021.474766, 0.239463, -25242644.603147, 1.171952
8, 05, -343021.474766, 0.230953, -25242644.603147, 1.171790
8, 06, -343021.474766, 0.216004, -25242644.603147, 1.171946
8, 07, -343021.474766, 0.239401, -25242644.603147, 1.171563
8, 08, -343021.474766, 0.244374, -25242644.603147, 1.171966
8, 09, -343021.474766, 0.238362, -25242644.603147, 1.176631
8, 10, -343021.474766, 0.255720, -25242644.603147, 1.171679
16, 01, -343021.474766, 0.151230, -25242644.603147, 1.045828
16, 02, -343021.474766, 0.145205, -25242644.603147, 1.044779
16, 03, -343021.474766, 0.155394, -25242644.603147, 1.043338
16, 04, -343021.474766, 0.146387, -25242644.603147, 1.044339
16, 05, -343021.474766, 0.151710, -25242644.603147, 1.044135
16, 06, -343021.474766, 0.132962, -25242644.603147, 1.043417
16, 07, -343021.474766, 0.150650, -25242644.603147, 1.050778
16, 08, -343021.474766, 0.143871, -25242644.603147, 1.045543
16, 09, -343021.474766, 0.139158, -25242644.603147, 1.045183
16, 10, -343021.474766, 0.152460, -25242644.603147, 1.048919
