exec, num_threads, reps, res1, t1, res2, t2 
0, 1, 0, -343021.474766, 1.680509, -25242644.603147, 8.670076
0, 1, 1, -343021.474766, 1.671572, -25242644.603147, 8.673683
0, 1, 2, -343021.474766, 1.675285, -25242644.603147, 8.669768
0, 1, 3, -343021.474766, 1.676440, -25242644.603147, 8.669037
0, 1, 4, -343021.474766, 1.678796, -25242644.603147, 8.669460
0, 1, 5, -343021.474766, 1.678167, -25242644.603147, 8.670737
0, 1, 6, -343021.474766, 1.676526, -25242644.603147, 8.669861
0, 1, 7, -343021.474766, 1.679061, -25242644.603147, 8.669730
0, 1, 8, -343021.474766, 1.679239, -25242644.603147, 8.672913
0, 1, 9, -343021.474766, 1.641673, -25242644.603147, 8.671749
0, 1, 10, -343021.474766, 1.673278, -25242644.603147, 8.670876
0, 2, 0, -343021.474766, 0.862586, -25242644.603147, 4.466199
0, 2, 1, -343021.474766, 0.854792, -25242644.603147, 4.470029
0, 2, 2, -343021.474766, 0.861432, -25242644.603147, 4.474524
0, 2, 3, -343021.474766, 0.854941, -25242644.603147, 4.470054
0, 2, 4, -343021.474766, 0.865638, -25242644.603147, 4.473230
0, 2, 5, -343021.474766, 0.859520, -25242644.603147, 4.468708
0, 2, 6, -343021.474766, 0.854698, -25242644.603147, 4.475089
0, 2, 7, -343021.474766, 0.861392, -25242644.603147, 4.473979
0, 2, 8, -343021.474766, 0.860577, -25242644.603147, 4.450364
0, 2, 9, -343021.474766, 0.842411, -25242644.603147, 4.466982
0, 2, 10, -343021.474766, 0.855997, -25242644.603147, 4.468536
0, 4, 0, -343021.474766, 0.457342, -25242644.603147, 2.227491
0, 4, 1, -343021.474766, 0.439169, -25242644.603147, 2.231481
0, 4, 2, -343021.474766, 0.430436, -25242644.603147, 2.229072
0, 4, 3, -343021.474766, 0.441928, -25242644.603147, 2.230530
0, 4, 4, -343021.474766, 0.427990, -25242644.603147, 2.232046
0, 4, 5, -343021.474766, 0.446179, -25242644.603147, 2.229376
0, 4, 6, -343021.474766, 0.452291, -25242644.603147, 2.226755
0, 4, 7, -343021.474766, 0.451635, -25242644.603147, 2.228536
0, 4, 8, -343021.474766, 0.449631, -25242644.603147, 2.228171
0, 4, 9, -343021.474766, 0.452454, -25242644.603147, 2.228736
0, 4, 10, -343021.474766, 0.444056, -25242644.603147, 2.232417
0, 6, 0, -343021.474766, 0.314073, -25242644.603147, 1.559972
0, 6, 1, -343021.474766, 0.319580, -25242644.603147, 1.565151
0, 6, 2, -343021.474766, 0.346585, -25242644.603147, 1.560059
0, 6, 3, -343021.474766, 0.308733, -25242644.603147, 1.564952
0, 6, 4, -343021.474766, 0.292909, -25242644.603147, 1.560301
0, 6, 5, -343021.474766, 0.284610, -25242644.603147, 1.566013
0, 6, 6, -343021.474766, 0.332469, -25242644.603147, 1.566605
0, 6, 7, -343021.474766, 0.313340, -25242644.603147, 1.559946
0, 6, 8, -343021.474766, 0.298457, -25242644.603147, 1.559993
0, 6, 9, -343021.474766, 0.308866, -25242644.603147, 1.560051
0, 6, 10, -343021.474766, 0.325895, -25242644.603147, 1.559857
0, 8, 0, -343021.474766, 0.240358, -25242644.603147, 1.171592
0, 8, 1, -343021.474766, 0.240952, -25242644.603147, 1.187050
0, 8, 2, -343021.474766, 0.243221, -25242644.603147, 1.171942
0, 8, 3, -343021.474766, 0.239806, -25242644.603147, 1.172301
0, 8, 4, -343021.474766, 0.216410, -25242644.603147, 1.171858
0, 8, 5, -343021.474766, 0.238707, -25242644.603147, 1.171750
0, 8, 6, -343021.474766, 0.253820, -25242644.603147, 1.171882
0, 8, 7, -343021.474766, 0.243541, -25242644.603147, 1.172156
0, 8, 8, -343021.474766, 0.248458, -25242644.603147, 1.172556
0, 8, 9, -343021.474766, 0.246550, -25242644.603147, 1.171965
0, 8, 10, -343021.474766, 0.268692, -25242644.603147, 1.195395
0, 12, 0, -343021.474766, 0.178254, -25242644.603147, 1.043202
0, 12, 1, -343021.474766, 0.171567, -25242644.603147, 1.043106
0, 12, 2, -343021.474766, 0.172582, -25242644.603147, 1.044801
0, 12, 3, -343021.474766, 0.172762, -25242644.603147, 1.045689
0, 12, 4, -343021.474766, 0.181897, -25242644.603147, 1.044734
0, 12, 5, -343021.474766, 0.188025, -25242644.603147, 1.047787
0, 12, 6, -343021.474766, 0.176517, -25242644.603147, 1.042493
0, 12, 7, -343021.474766, 0.174031, -25242644.603147, 1.047861
0, 12, 8, -343021.474766, 0.167967, -25242644.603147, 1.043688
0, 12, 9, -343021.474766, 0.167805, -25242644.603147, 1.043997
0, 12, 10, -343021.474766, 0.173301, -25242644.603147, 1.043929
0, 16, 0, -343021.474766, 0.164808, -25242644.603147, 1.042836
0, 16, 1, -343021.474766, 0.168858, -25242644.603147, 1.046386
0, 16, 2, -343021.474766, 0.152627, -25242644.603147, 1.042540
0, 16, 3, -343021.474766, 0.154375, -25242644.603147, 1.049284
0, 16, 4, -343021.474766, 0.140250, -25242644.603147, 1.043010
0, 16, 5, -343021.474766, 0.149125, -25242644.603147, 1.053416
0, 16, 6, -343021.474766, 0.148525, -25242644.603147, 1.045730
0, 16, 7, -343021.474766, 0.152854, -25242644.603147, 1.053587
0, 16, 8, -343021.474766, 0.149265, -25242644.603147, 1.042517
0, 16, 9, -343021.474766, 0.141575, -25242644.603147, 1.042182
0, 16, 10, -343021.474766, 0.154594, -25242644.603147, 1.049886
1, 1, 0, -343021.474766, 1.642180, -25242644.603147, 8.669733
1, 1, 1, -343021.474766, 1.641847, -25242644.603147, 8.669542
1, 1, 2, -343021.474766, 1.642214, -25242644.603147, 8.669203
