num_threads, kind, chunksize, reps, t1, res1, t2, res2 
4, 1, 1, 01, -343021.474766, 0.787369, -25242644.603147, 4.082442
4, 1, 1, 02, -343021.474766, 0.467995, -25242644.603147, 4.017026
4, 1, 1, 03, -343021.474766, 0.486447, -25242644.603147, 3.774907
4, 1, 1, 04, -343021.474766, 0.472663, -25242644.603147, 4.000083
4, 1, 1, 05, -343021.474766, 0.462983, -25242644.603147, 4.016812
4, 1, 1, 06, -343021.474766, 0.469384, -25242644.603147, 4.005011
4, 1, 1, 07, -343021.474766, 0.465234, -25242644.603147, 3.977715
4, 1, 1, 08, -343021.474766, 0.470277, -25242644.603147, 4.042352
4, 1, 1, 09, -343021.474766, 0.467132, -25242644.603147, 4.077847
4, 1, 1, 10, -343021.474766, 0.478825, -25242644.603147, 4.003730
4, 1, 2, 01, -343021.474766, 0.461442, -25242644.603147, 2.664015
4, 1, 2, 02, -343021.474766, 0.456845, -25242644.603147, 2.637326
4, 1, 2, 03, -343021.474766, 0.456840, -25242644.603147, 2.666823
4, 1, 2, 04, -343021.474766, 0.457706, -25242644.603147, 2.637378
4, 1, 2, 05, -343021.474766, 0.456201, -25242644.603147, 2.618890
4, 1, 2, 06, -343021.474766, 0.459843, -25242644.603147, 2.640007
4, 1, 2, 07, -343021.474766, 0.458748, -25242644.603147, 2.648552
4, 1, 2, 08, -343021.474766, 0.459062, -25242644.603147, 2.683380
4, 1, 2, 09, -343021.474766, 0.458066, -25242644.603147, 2.675680
4, 1, 2, 10, -343021.474766, 0.458699, -25242644.603147, 2.634416
4, 1, 4, 01, -343021.474766, 0.466338, -25242644.603147, 2.456793
4, 1, 4, 02, -343021.474766, 0.455942, -25242644.603147, 2.464317
4, 1, 4, 03, -343021.474766, 0.463222, -25242644.603147, 2.451365
4, 1, 4, 04, -343021.474766, 0.459432, -25242644.603147, 2.440242
4, 1, 4, 05, -343021.474766, 0.463400, -25242644.603147, 2.453251
4, 1, 4, 06, -343021.474766, 0.461400, -25242644.603147, 2.350430
4, 1, 4, 07, -343021.474766, 0.447761, -25242644.603147, 2.473111
4, 1, 4, 08, -343021.474766, 0.427681, -25242644.603147, 2.448057
4, 1, 4, 09, -343021.474766, 0.460736, -25242644.603147, 2.476564
4, 1, 4, 10, -343021.474766, 0.464030, -25242644.603147, 2.353845
4, 1, 8, 01, -343021.474766, 0.467187, -25242644.603147, 2.337690
4, 1, 8, 02, -343021.474766, 0.459455, -25242644.603147, 2.335731
4, 1, 8, 03, -343021.474766, 0.466466, -25242644.603147, 2.336760
4, 1, 8, 04, -343021.474766, 0.461958, -25242644.603147, 2.337254
4, 1, 8, 05, -343021.474766, 0.469105, -25242644.603147, 2.336202
4, 1, 8, 06, -343021.474766, 0.468114, -25242644.603147, 2.336891
