num_threads, kind, chunksize, reps, res1, t1, res2, t2
4, 1, 1, 01, -343021.474766, 0.479963, -25242644.603147, 3.920415
4, 1, 1, 02, -343021.474766, 0.479675, -25242644.603147, 3.843647
4, 1, 1, 03, -343021.474766, 0.481929, -25242644.603147, 3.963153
4, 1, 1, 04, -343021.474766, 0.473609, -25242644.603147, 3.977836
4, 1, 1, 05, -343021.474766, 0.463293, -25242644.603147, 3.966269
4, 1, 1, 06, -343021.474766, 0.470361, -25242644.603147, 3.943240
4, 1, 1, 07, -343021.474766, 0.473081, -25242644.603147, 3.957994
4, 1, 1, 08, -343021.474766, 0.475871, -25242644.603147, 3.919324
4, 1, 1, 09, -343021.474766, 0.479599, -25242644.603147, 3.897476
4, 1, 1, 10, -343021.474766, 0.485346, -25242644.603147, 3.927962
4, 1, 2, 01, -343021.474766, 0.469844, -25242644.603147, 3.009436
4, 1, 2, 02, -343021.474766, 0.471342, -25242644.603147, 2.924973
4, 1, 2, 03, -343021.474766, 0.463890, -25242644.603147, 3.025010
4, 1, 2, 04, -343021.474766, 0.465856, -25242644.603147, 2.926243
4, 1, 2, 05, -343021.474766, 0.466048, -25242644.603147, 2.930737
4, 1, 2, 06, -343021.474766, 0.467983, -25242644.603147, 2.929947
4, 1, 2, 07, -343021.474766, 0.468295, -25242644.603147, 2.976466
4, 1, 2, 08, -343021.474766, 0.479901, -25242644.603147, 2.828888
4, 1, 2, 09, -343021.474766, 0.467843, -25242644.603147, 2.997097
4, 1, 2, 10, -343021.474766, 0.463223, -25242644.603147, 2.950434
4, 1, 4, 01, -343021.474766, 0.469141, -25242644.603147, 2.417332
4, 1, 4, 02, -343021.474766, 0.456178, -25242644.603147, 2.377325
4, 1, 4, 03, -343021.474766, 0.464970, -25242644.603147, 2.391408
4, 1, 4, 04, -343021.474766, 0.464384, -25242644.603147, 2.466449
4, 1, 4, 05, -343021.474766, 0.455630, -25242644.603147, 2.394570
4, 1, 4, 06, -343021.474766, 0.462342, -25242644.603147, 2.416239
4, 1, 4, 07, -343021.474766, 0.464240, -25242644.603147, 2.447141
4, 1, 4, 08, -343021.474766, 0.463306, -25242644.603147, 2.448374
4, 1, 4, 09, -343021.474766, 0.455725, -25242644.603147, 2.386681
4, 1, 4, 10, -343021.474766, 0.456501, -25242644.603147, 2.414524
4, 1, 8, 01, -343021.474766, 0.461152, -25242644.603147, 2.334285
4, 1, 8, 02, -343021.474766, 0.464474, -25242644.603147, 2.334595
4, 1, 8, 03, -343021.474766, 0.464724, -25242644.603147, 2.334421
4, 1, 8, 04, -343021.474766, 0.468911, -25242644.603147, 2.334645
4, 1, 8, 05, -343021.474766, 0.461600, -25242644.603147, 2.334248
4, 1, 8, 06, -343021.474766, 0.472074, -25242644.603147, 2.334722
4, 1, 8, 07, -343021.474766, 0.468591, -25242644.603147, 2.334354
4, 1, 8, 08, -343021.474766, 0.433582, -25242644.603147, 2.333842
4, 1, 8, 09, -343021.474766, 0.467854, -25242644.603147, 2.334356
4, 1, 8, 10, -343021.474766, 0.466794, -25242644.603147, 2.334890
4, 1, 16, 01, -343021.474766, 0.476857, -25242644.603147, 3.111198
4, 1, 16, 02, -343021.474766, 0.473174, -25242644.603147, 3.111122
4, 1, 16, 03, -343021.474766, 0.474036, -25242644.603147, 3.111117
4, 1, 16, 04, -343021.474766, 0.470802, -25242644.603147, 3.111176
4, 1, 16, 05, -343021.474766, 0.481865, -25242644.603147, 3.144604
4, 1, 16, 06, -343021.474766, 0.477768, -25242644.603147, 3.112649
4, 1, 16, 07, -343021.474766, 0.486254, -25242644.603147, 3.150076
4, 1, 16, 08, -343021.474766, 0.478931, -25242644.603147, 3.146243
4, 1, 16, 09, -343021.474766, 0.470833, -25242644.603147, 3.111968
4, 1, 16, 10, -343021.474766, 0.444737, -25242644.603147, 3.111694
4, 1, 32, 01, -343021.474766, 0.502987, -25242644.603147, 4.794553
4, 1, 32, 02, -343021.474766, 0.495953, -25242644.603147, 4.793714
4, 1, 32, 03, -343021.474766, 0.585138, -25242644.603147, 4.796086
4, 1, 32, 04, -343021.474766, 0.492176, -25242644.603147, 4.793995
4, 1, 32, 05, -343021.474766, 0.504976, -25242644.603147, 4.793312
4, 1, 32, 06, -343021.474766, 0.491720, -25242644.603147, 4.794623
4, 1, 32, 07, -343021.474766, 0.503687, -25242644.603147, 4.793700
4, 1, 32, 08, -343021.474766, 0.505064, -25242644.603147, 4.794519
4, 1, 32, 09, -343021.474766, 0.506945, -25242644.603147, 4.795104
4, 1, 32, 10, -343021.474766, 0.508234, -25242644.603147, 4.795036
4, 1, 64, 01, -343021.474766, 0.560810, -25242644.603147, 5.441586
4, 1, 64, 02, -343021.474766, 0.561068, -25242644.603147, 5.444228
4, 1, 64, 03, -343021.474766, 0.562464, -25242644.603147, 5.440551
4, 1, 64, 04, -343021.474766, 0.549462, -25242644.603147, 5.441674
4, 1, 64, 05, -343021.474766, 0.558501, -25242644.603147, 5.441322
4, 1, 64, 06, -343021.474766, 0.529459, -25242644.603147, 5.442288
4, 1, 64, 07, -343021.474766, 0.533705, -25242644.603147, 5.443034
4, 1, 64, 08, -343021.474766, 0.553970, -25242644.603147, 5.441552
4, 1, 64, 09, -343021.474766, 0.548017, -25242644.603147, 5.441991
4, 1, 64, 10, -343021.474766, 0.550638, -25242644.603147, 5.440304
4, 2, 1, 01, -343021.474766, 0.468646, -25242644.603147, 2.707822
4, 2, 1, 02, -343021.474766, 0.479942, -25242644.603147, 2.767548
4, 2, 1, 03, -343021.474766, 0.476610, -25242644.603147, 2.671611
4, 2, 1, 04, -343021.474766, 0.467745, -25242644.603147, 2.745958
4, 2, 1, 05, -343021.474766, 0.485086, -25242644.603147, 2.668575
4, 2, 1, 06, -343021.474766, 0.483813, -25242644.603147, 2.733162
4, 2, 1, 07, -343021.474766, 0.475096, -25242644.603147, 2.671992
4, 2, 1, 08, -343021.474766, 0.479551, -25242644.603147, 2.790524
4, 2, 1, 09, -343021.474766, 0.480840, -25242644.603147, 2.748298
4, 2, 1, 10, -343021.474766, 0.471684, -25242644.603147, 2.799540
4, 2, 2, 01, -343021.474766, 0.471070, -25242644.603147, 2.710891
4, 2, 2, 02, -343021.474766, 0.442600, -25242644.603147, 2.774794
4, 2, 2, 03, -343021.474766, 0.466222, -25242644.603147, 2.755573
4, 2, 2, 04, -343021.474766, 0.457777, -25242644.603147, 2.683707
4, 2, 2, 05, -343021.474766, 0.451553, -25242644.603147, 2.608920
4, 2, 2, 06, -343021.474766, 0.472876, -25242644.603147, 2.657961
4, 2, 2, 07, -343021.474766, 0.464548, -25242644.603147, 2.698458
4, 2, 2, 08, -343021.474766, 0.454554, -25242644.603147, 2.712345
4, 2, 2, 09, -343021.474766, 0.461289, -25242644.603147, 2.701547
4, 2, 2, 10, -343021.474766, 0.455454, -25242644.603147, 2.677026
4, 2, 4, 01, -343021.474766, 0.460004, -25242644.603147, 2.346501
4, 2, 4, 02, -343021.474766, 0.465262, -25242644.603147, 2.314755
4, 2, 4, 03, -343021.474766, 0.454684, -25242644.603147, 2.334439
4, 2, 4, 04, -343021.474766, 0.451617, -25242644.603147, 2.349936
4, 2, 4, 05, -343021.474766, 0.456654, -25242644.603147, 2.325648
4, 2, 4, 06, -343021.474766, 0.449798, -25242644.603147, 2.325775
4, 2, 4, 07, -343021.474766, 0.454435, -25242644.603147, 2.323445
4, 2, 4, 08, -343021.474766, 0.461630, -25242644.603147, 2.309825
4, 2, 4, 09, -343021.474766, 0.440518, -25242644.603147, 2.335245
4, 2, 4, 10, -343021.474766, 0.457840, -25242644.603147, 2.310282
4, 2, 8, 01, -343021.474766, 0.458190, -25242644.603147, 2.210372
4, 2, 8, 02, -343021.474766, 0.459029, -25242644.603147, 2.210333
4, 2, 8, 03, -343021.474766, 0.459882, -25242644.603147, 2.210196
4, 2, 8, 04, -343021.474766, 0.447367, -25242644.603147, 2.210391
4, 2, 8, 05, -343021.474766, 0.454765, -25242644.603147, 2.209438
4, 2, 8, 06, -343021.474766, 0.471915, -25242644.603147, 2.209937
4, 2, 8, 07, -343021.474766, 0.441942, -25242644.603147, 2.210116
4, 2, 8, 08, -343021.474766, 0.426248, -25242644.603147, 2.210256
4, 2, 8, 09, -343021.474766, 0.454235, -25242644.603147, 2.221355
4, 2, 8, 10, -343021.474766, 0.457140, -25242644.603147, 2.221276
4, 2, 16, 01, -343021.474766, 0.458205, -25242644.603147, 2.208743
4, 2, 16, 02, -343021.474766, 0.445077, -25242644.603147, 2.208031
4, 2, 16, 03, -343021.474766, 0.423193, -25242644.603147, 2.207845
4, 2, 16, 04, -343021.474766, 0.440655, -25242644.603147, 2.208159
4, 2, 16, 05, -343021.474766, 0.452041, -25242644.603147, 2.208458
4, 2, 16, 06, -343021.474766, 0.461509, -25242644.603147, 2.209728
4, 2, 16, 07, -343021.474766, 0.458600, -25242644.603147, 2.208436
4, 2, 16, 08, -343021.474766, 0.446962, -25242644.603147, 2.209056
4, 2, 16, 09, -343021.474766, 0.453219, -25242644.603147, 2.208616
4, 2, 16, 10, -343021.474766, 0.456030, -25242644.603147, 2.207807
